#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Notch3	Krt5	10090.ENSMUSP00000085016	10090.ENSMUSP00000023709	0	0	0	0	0.053	0.099	0	0.356	0.403
Notch3	Igfbp5	10090.ENSMUSP00000085016	10090.ENSMUSP00000027377	0	0	0	0	0.178	0	0	0.319	0.416
Notch3	Cxcr4	10090.ENSMUSP00000085016	10090.ENSMUSP00000053489	0	0	0	0	0.110	0	0	0.362	0.407
Nova1	Celf2	10090.ENSMUSP00000021438	10090.ENSMUSP00000110574	0	0	0	0	0.072	0.061	0	0.536	0.560
Npy1r	Il1b	10090.ENSMUSP00000045530	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.459	0.459
Npy1r	Gabrb1	10090.ENSMUSP00000045530	10090.ENSMUSP00000031122	0	0	0	0	0.135	0	0	0.373	0.435
Pak3	Epha2	10090.ENSMUSP00000108484	10090.ENSMUSP00000006614	0	0	0	0.566	0	0.084	0.400	0.054	0.434
Pappa	Igfbp5	10090.ENSMUSP00000081545	10090.ENSMUSP00000027377	0	0	0	0	0.061	0.747	0	0.663	0.913
Pax3	Twist1	10090.ENSMUSP00000004994	10090.ENSMUSP00000040089	0	0	0	0	0.121	0	0	0.424	0.472
Pax3	Isl1	10090.ENSMUSP00000004994	10090.ENSMUSP00000044879	0	0	0	0	0.054	0.085	0	0.582	0.606
Pax3	Tfap2a	10090.ENSMUSP00000004994	10090.ENSMUSP00000105822	0	0	0	0	0.179	0.055	0	0.606	0.667
Perp	Epha2	10090.ENSMUSP00000019998	10090.ENSMUSP00000006614	0	0	0	0	0.071	0	0	0.516	0.531
Perp	Pmaip1	10090.ENSMUSP00000019998	10090.ENSMUSP00000025399	0	0	0	0	0.079	0	0	0.641	0.655
Perp	Dsp	10090.ENSMUSP00000019998	10090.ENSMUSP00000115062	0	0	0	0	0.423	0	0.500	0.479	0.836
Pmaip1	Perp	10090.ENSMUSP00000025399	10090.ENSMUSP00000019998	0	0	0	0	0.079	0	0	0.641	0.655
Pmaip1	Btg2	10090.ENSMUSP00000025399	10090.ENSMUSP00000020692	0	0	0	0	0.079	0	0	0.391	0.415
Pmaip1	Mdk	10090.ENSMUSP00000025399	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.441	0.441
Pou3f1	Irs2	10090.ENSMUSP00000137374	10090.ENSMUSP00000038514	0	0	0.399	0	0.047	0	0	0	0.402
Pou3f1	Isl1	10090.ENSMUSP00000137374	10090.ENSMUSP00000044879	0	0	0	0	0.051	0.063	0	0.455	0.473
Pparg	Serpinb7	10090.ENSMUSP00000000450	10090.ENSMUSP00000083896	0	0	0	0	0	0.046	0	0.398	0.401
Pparg	Hpgds	10090.ENSMUSP00000000450	10090.ENSMUSP00000031982	0	0	0	0	0	0.051	0	0.413	0.419
Pparg	Notch3	10090.ENSMUSP00000000450	10090.ENSMUSP00000085016	0	0	0	0	0.078	0.060	0	0.405	0.439
Pparg	Cxcr4	10090.ENSMUSP00000000450	10090.ENSMUSP00000053489	0	0	0	0	0.091	0	0	0.431	0.460
Pparg	Vwf	10090.ENSMUSP00000000450	10090.ENSMUSP00000107873	0	0	0	0	0.074	0.047	0	0.439	0.462
Pparg	Mmp13	10090.ENSMUSP00000000450	10090.ENSMUSP00000015394	0	0	0	0	0	0.070	0	0.461	0.477
Pparg	Mdk	10090.ENSMUSP00000000450	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.500	0.499
Pparg	Irs2	10090.ENSMUSP00000000450	10090.ENSMUSP00000038514	0	0	0	0	0	0.060	0	0.610	0.618
Pparg	Arg1	10090.ENSMUSP00000000450	10090.ENSMUSP00000020161	0	0	0	0	0	0.062	0	0.622	0.630
Pparg	Ptgs2	10090.ENSMUSP00000000450	10090.ENSMUSP00000035065	0	0	0	0	0.064	0	0	0.721	0.727
Pparg	Il1b	10090.ENSMUSP00000000450	10090.ENSMUSP00000028881	0	0	0	0	0.100	0	0	0.802	0.814
Ptgs2	Pparg	10090.ENSMUSP00000035065	10090.ENSMUSP00000000450	0	0	0	0	0.064	0	0	0.721	0.727
Ptgs2	Mmp13	10090.ENSMUSP00000035065	10090.ENSMUSP00000015394	0	0	0	0	0.144	0	0	0.674	0.709
Ptgs2	Arg1	10090.ENSMUSP00000035065	10090.ENSMUSP00000020161	0	0	0	0	0.054	0	0	0.648	0.653
Ptgs2	Adamts5	10090.ENSMUSP00000035065	10090.ENSMUSP00000023611	0	0	0	0	0.042	0	0	0.549	0.550
Ptgs2	Mdk	10090.ENSMUSP00000035065	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.551	0.551
Ptgs2	Il1b	10090.ENSMUSP00000035065	10090.ENSMUSP00000028881	0	0	0	0	0.453	0	0	0.894	0.939
Ptgs2	Hpgds	10090.ENSMUSP00000035065	10090.ENSMUSP00000031982	0	0	0	0	0	0	0.900	0.481	0.945
Ptgs2	Serpinb7	10090.ENSMUSP00000035065	10090.ENSMUSP00000083896	0	0	0	0	0.054	0	0	0.410	0.417
Ptgs2	Celf2	10090.ENSMUSP00000035065	10090.ENSMUSP00000110574	0	0	0	0	0	0	0	0.583	0.583
Ptgs2	Cxcr4	10090.ENSMUSP00000035065	10090.ENSMUSP00000053489	0	0	0	0	0.086	0	0	0.632	0.649
Ptprd	Asb5	10090.ENSMUSP00000133468	10090.ENSMUSP00000033918	0	0	0	0	0.051	0.051	0	0.555	0.564
Ptprd	Grik2	10090.ENSMUSP00000133468	10090.ENSMUSP00000151921	0	0	0	0	0.087	0	0	0.486	0.511
Ptprf	Irs2	10090.ENSMUSP00000039368	10090.ENSMUSP00000038514	0	0	0	0	0.047	0.104	0.900	0.107	0.913
Rgs1	Cxcr4	10090.ENSMUSP00000140624	10090.ENSMUSP00000053489	0	0	0	0	0.226	0	0	0.303	0.438
Rgs1	Gnao1	10090.ENSMUSP00000140624	10090.ENSMUSP00000148550	0	0	0	0	0.090	0.302	0	0.530	0.676
Serpinb7	Pparg	10090.ENSMUSP00000083896	10090.ENSMUSP00000000450	0	0	0	0	0	0.046	0	0.398	0.401
Serpinb7	Arg1	10090.ENSMUSP00000083896	10090.ENSMUSP00000020161	0	0	0	0	0.054	0.053	0	0.444	0.458
Serpinb7	Il1b	10090.ENSMUSP00000083896	10090.ENSMUSP00000028881	0	0	0	0	0.053	0	0	0.692	0.696
Serpinb7	Ptgs2	10090.ENSMUSP00000083896	10090.ENSMUSP00000035065	0	0	0	0	0.054	0	0	0.410	0.417
Serpinb7	Hand2	10090.ENSMUSP00000083896	10090.ENSMUSP00000044983	0	0	0	0	0	0	0	0.708	0.708
Serpinb7	Bcl11b	10090.ENSMUSP00000083896	10090.ENSMUSP00000068258	0	0	0	0	0.050	0.047	0	0.565	0.571
Serpinb7	Tlr5	10090.ENSMUSP00000083896	10090.ENSMUSP00000106625	0	0	0	0	0	0	0	0.441	0.441
Serpinb7	Il1rl1	10090.ENSMUSP00000083896	10090.ENSMUSP00000095379	0	0	0	0	0.049	0	0	0.530	0.534
Sp140	Tent5c	10090.ENSMUSP00000079095	10090.ENSMUSP00000056872	0	0	0	0	0.061	0	0	0.478	0.488
Tent5c	Sp140	10090.ENSMUSP00000056872	10090.ENSMUSP00000079095	0	0	0	0	0.061	0	0	0.478	0.488
Tfap2a	Pax3	10090.ENSMUSP00000105822	10090.ENSMUSP00000004994	0	0	0	0	0.179	0.055	0	0.606	0.667
Tfap2a	Isl1	10090.ENSMUSP00000105822	10090.ENSMUSP00000044879	0	0	0	0	0.075	0	0	0.477	0.496
Tlr5	Il1b	10090.ENSMUSP00000106625	10090.ENSMUSP00000028881	0	0	0	0	0.080	0	0	0.748	0.759
Tlr5	Serpinb7	10090.ENSMUSP00000106625	10090.ENSMUSP00000083896	0	0	0	0	0	0	0	0.441	0.441
Tlr5	Naip6	10090.ENSMUSP00000106625	10090.ENSMUSP00000112867	0	0	0	0	0.096	0.059	0	0.392	0.438
Trpc1	Gnao1	10090.ENSMUSP00000139672	10090.ENSMUSP00000148550	0	0	0	0	0.097	0	0	0.437	0.469
Tspoap1	Lin7a	10090.ENSMUSP00000048063	10090.ENSMUSP00000020057	0	0	0	0	0.086	0	0.500	0.206	0.605
Twist1	Pax3	10090.ENSMUSP00000040089	10090.ENSMUSP00000004994	0	0	0	0	0.121	0	0	0.424	0.472
Twist1	Mdk	10090.ENSMUSP00000040089	10090.ENSMUSP00000028672	0	0	0	0	0.046	0	0	0.474	0.476
Twist1	Cxcr4	10090.ENSMUSP00000040089	10090.ENSMUSP00000053489	0	0	0	0	0.076	0	0	0.410	0.431
Twist1	Hoxd10	10090.ENSMUSP00000040089	10090.ENSMUSP00000062412	0	0	0	0	0.127	0.058	0	0.372	0.439
Twist1	Hand2	10090.ENSMUSP00000040089	10090.ENSMUSP00000044983	0	0	0	0.684	0.079	0.049	0	0.462	0.487
Uchl1	Gnao1	10090.ENSMUSP00000031131	10090.ENSMUSP00000148550	0	0	0	0	0.163	0.289	0	0.175	0.466
Upk1b	Lrrn4	10090.ENSMUSP00000052469	10090.ENSMUSP00000057005	0	0	0	0	0.462	0	0	0.190	0.545
Upk1b	Upk3b	10090.ENSMUSP00000052469	10090.ENSMUSP00000062312	0	0	0	0	0.618	0	0	0.906	0.962
Upk3b	Upk1b	10090.ENSMUSP00000062312	10090.ENSMUSP00000052469	0	0	0	0	0.618	0	0	0.906	0.962
Upk3b	Lrrn4	10090.ENSMUSP00000062312	10090.ENSMUSP00000057005	0	0	0	0	0.590	0	0	0.676	0.861
Vwf	Pparg	10090.ENSMUSP00000107873	10090.ENSMUSP00000000450	0	0	0	0	0.074	0.047	0	0.439	0.462
Vwf	Il1b	10090.ENSMUSP00000107873	10090.ENSMUSP00000028881	0	0	0	0	0.050	0	0	0.612	0.616
Vwf	Cxcr4	10090.ENSMUSP00000107873	10090.ENSMUSP00000053489	0	0	0	0	0.060	0	0	0.625	0.632
